Category,file_type,perc_number
MLOps/ AIOps,Perl,3.1047
MLOps/ AIOps,Perl,2.6244
MLOps/ AIOps,Perl,5.1883
MLOps/ AIOps,Perl,6.8531
MLOps/ AIOps,Perl,11.3858
MLOps/ AIOps,Perl,3.2833
MLOps/ AIOps,Perl,1.2304
MLOps/ AIOps,Node/js,19.1293
MLOps/ AIOps,Node/js,3.6697
MLOps/ AIOps,Node/js,0.3063
MLOps/ AIOps,Node/js,1.353
MLOps/ AIOps,Node/js,1.6292
MLOps/ AIOps,Node/js,0.5296
MLOps/ AIOps,Node/js,9.5194
MLOps/ AIOps,Node/js,1.747
MLOps/ AIOps,Node/js,1.2147
MLOps/ AIOps,Node/js,59.2847
MLOps/ AIOps,Node/js,4.9788
MLOps/ AIOps,Node/js,0.1584
MLOps/ AIOps,Node/js,0.5502
